Index,User,Scenario,FEATURE,THPARTY,WTP,ORDPREF,PROFFER
0,1,1,0,1,0,1,2.24
1,1,1,1,0,1,1,2.24
2,1,2,0,1,0,1,1.24
3,1,2,1,0,1,1,1.24
4,1,3,0,0,1,1,1.99
5,1,3,1,1,0,1,1.99
6,1,4,0,1,0,1,1.24
7,1,4,1,1,1,1,1.24
8,1,5,0,0,1,1,0.24
9,1,5,1,1,1,1,0.24
10,1,6,0,0,0,1,1.49
11,1,6,1,1,0,1,1.49
12,1,7,0,1,1,1,2.24
13,1,7,1,0,0,1,2.24
14,1,8,0,1,1,1,1.24
15,1,8,1,1,0,1,1.24
16,1,9,0,1,0,1,2.74
17,1,9,1,1,0,1,2.74
18,1,10,0,0,0,1,2.74
19,1,10,1,1,0,1,2.74
20,1,11,0,0,1,1,0.24
21,1,11,1,1,1,1,0.24
22,1,12,0,0,1,1,0.24
23,1,12,1,0,0,1,0.24
24,2,1,0,0,0,1,1.74
25,2,1,1,1,1,1,1.74
26,2,2,0,1,0,1,2.99
27,2,2,1,1,0,1,2.99
28,2,3,0,1,0,1,0.49
29,2,3,1,0,0,1,0.49
30,2,4,0,1,1,1,0.99
31,2,4,1,0,1,1,0.99
32,2,5,0,1,0,1,2.24
33,2,5,1,1,0,1,2.24
34,2,6,0,1,0,1,1.24
35,2,6,1,0,1,1,1.24
36,2,7,0,1,1,1,1.24
37,2,7,1,0,0,1,1.24
38,2,8,0,0,0,1,2.24
39,2,8,1,0,1,1,2.24
40,2,9,0,1,1,1,0.74
41,2,9,1,0,1,1,0.74
42,2,10,0,0,1,1,0.99
43,2,10,1,1,0,1,0.99
44,2,11,0,0,1,1,2.74
45,2,11,1,0,1,1,2.74
46,2,12,0,0,0,1,2.49
47,2,12,1,0,0,1,2.49
48,3,1,0,0,0,1,2.24
49,3,1,1,1,1,1,2.24
50,3,2,0,1,0,1,0.49
51,3,2,1,0,0,1,0.49
52,3,3,0,0,0,1,2.24
53,3,3,1,0,1,1,2.24
54,3,4,0,0,1,1,2.49
55,3,4,1,1,1,1,2.49
56,3,5,0,0,1,1,1.99
57,3,5,1,0,1,1,1.99
58,3,6,0,0,0,1,1.99
59,3,6,1,0,1,1,1.99
60,3,7,0,1,0,1,0.74
61,3,7,1,1,1,1,0.74
62,3,8,0,0,0,1,0.49
63,3,8,1,0,1,1,0.49
64,3,9,0,0,0,1,1.74
65,3,9,1,1,1,1,1.74
66,3,10,0,1,0,1,2.24
67,3,10,1,0,0,1,2.24
68,3,11,0,0,1,1,1.99
69,3,11,1,0,0,1,1.99
70,3,12,0,1,0,1,0.49
71,3,12,1,1,1,1,0.49
72,4,1,0,0,1,1,1.99
73,4,1,1,0,1,1,1.99
74,4,2,0,1,0,1,0.24
75,4,2,1,0,1,1,0.24
76,4,3,0,1,1,1,0.99
77,4,3,1,0,0,1,0.99
78,4,4,0,0,0,1,1.99
79,4,4,1,0,1,1,1.99
80,4,5,0,1,0,0,0.99
81,4,5,1,0,1,0,0.99
82,4,6,0,1,0,0,0.49
83,4,6,1,0,1,0,0.49
84,4,7,0,1,1,0,2.24
85,4,7,1,1,0,0,2.24
86,4,8,0,1,1,0,2.74
87,4,8,1,0,0,0,2.74
88,4,9,0,1,0,0,0.49
89,4,9,1,0,0,0,0.49
90,4,10,0,0,0,0,2.74
91,4,10,1,0,0,0,2.74
92,4,11,0,1,0,0,1.49
93,4,11,1,0,1,0,1.49
94,4,12,0,0,0,0,0.49
95,4,12,1,0,0,0,0.49
96,5,1,0,0,1,0,1.49
97,5,1,1,0,1,0,1.49
98,5,2,0,1,0,0,1.49
99,5,2,1,1,1,0,1.49
100,5,3,0,0,0,0,1.24
101,5,3,1,0,1,0,1.24
102,5,4,0,0,1,0,0.99
103,5,4,1,1,0,0,0.99
104,5,5,0,1,1,0,1.74
105,5,5,1,0,1,0,1.74
106,5,6,0,0,1,0,0.24
107,5,6,1,1,1,0,0.24
108,5,7,0,1,0,0,0.74
109,5,7,1,1,1,0,0.74
110,5,8,0,1,0,0,1.74
111,5,8,1,0,0,0,1.74
112,5,9,0,1,0,0,0.24
113,5,9,1,0,0,0,0.24
114,5,10,0,0,1,0,2.24
115,5,10,1,0,1,0,2.24
116,5,11,0,0,1,0,0.24
117,5,11,1,1,1,0,0.24
118,5,12,0,0,1,0,1.49
119,5,12,1,1,0,0,1.49
120,6,1,0,1,0,0,0.99
121,6,1,1,1,1,0,0.99
122,6,2,0,1,0,0,1.24
123,6,2,1,0,1,0,1.24
124,6,3,0,1,1,0,1.49
125,6,3,1,0,0,0,1.49
126,6,4,1,1,1,0,1.74
127,6,4,1,0,1,0,1.74
128,6,5,0,0,0,0,1.49
129,6,5,1,1,0,0,1.49
130,6,6,0,0,0,0,2.99
131,6,6,1,0,1,0,2.99
132,6,7,0,0,0,0,2.99
133,6,7,1,0,1,0,2.99
134,6,8,0,1,0,0,2.74
135,6,8,1,1,1,0,2.74
136,6,9,0,1,0,0,1.24
137,6,9,1,1,1,0,1.24
138,6,10,0,0,0,0,1.24
139,6,10,1,1,1,0,1.24
140,6,11,0,0,0,0,2.24
141,6,11,1,0,1,0,2.24
142,6,12,0,0,1,0,0.74
143,6,12,1,1,1,0,0.74
144,7,1,0,1,1,0,0.74
145,7,1,1,0,1,0,0.74
146,7,2,0,0,1,0,0.24
147,7,2,1,0,0,0,0.24
148,7,3,0,1,0,0,1.49
149,7,3,1,1,1,0,1.49
150,7,4,0,0,0,0,2.49
151,7,4,1,0,0,0,2.49
152,7,5,0,1,1,0,1.24
