,User,Scenario,Feature_UandS,ThirdParty_UandS,WTP,Pay_Offer,Order_pref
0,1,1,0,1,0,5,5
1,1,1,1,0,1,5,5
2,1,2,0,1,0,5,5
3,1,2,1,0,1,5,5
4,1,3,0,0,1,5,5
5,1,3,1,1,0,5,5
6,1,4,0,1,0,5,5
7,1,4,1,1,1,5,5
8,1,5,0,0,1,5,5
9,1,5,1,1,1,5,5
10,1,6,0,0,0,5,5
11,1,6,1,1,0,5,5
12,1,7,0,1,1,5,5
13,1,7,1,0,0,5,5
14,1,8,0,1,1,5,5
15,1,8,1,1,0,5,5
16,1,9,0,1,0,5,5
17,1,9,1,1,0,5,5
18,1,10,0,0,0,5,5
19,1,10,1,1,0,5,5
20,1,11,0,0,1,5,5
21,1,11,1,1,1,5,5
22,1,12,0,0,1,5,5
23,1,12,1,0,0,5,5
24,2,1,0,0,0,5,5
25,2,1,1,1,1,5,5
26,2,2,0,1,0,5,5
27,2,2,1,1,0,5,5
28,2,3,0,1,0,5,5
29,2,3,1,0,0,5,5
30,2,4,0,1,1,5,5
31,2,4,1,0,1,5,5
32,2,5,0,1,0,5,5
33,2,5,1,1,0,5,5
34,2,6,0,1,0,5,5
35,2,6,1,0,1,5,5
36,2,7,0,1,1,5,5
37,2,7,1,0,0,5,5
38,2,8,0,0,0,5,5
39,2,8,1,0,1,5,5
40,2,9,0,1,1,5,5
41,2,9,1,0,1,5,5
42,2,10,0,0,1,5,5
43,2,10,1,1,0,5,5
44,2,11,0,0,1,5,5
45,2,11,1,0,1,5,5
46,2,12,0,0,0,5,5
47,2,12,1,0,0,5,5
48,3,1,0,0,0,5,5
49,3,1,1,1,1,5,5
50,3,2,0,1,0,5,5
51,3,2,1,0,0,5,5
52,3,3,0,0,0,5,5
53,3,3,1,0,1,5,5
54,3,4,0,0,1,5,5
55,3,4,1,1,1,5,5
56,3,5,0,0,1,5,5
57,3,5,1,0,1,5,5
58,3,6,0,0,0,5,5
59,3,6,1,0,1,5,5
60,3,7,0,1,0,5,5
61,3,7,1,1,1,5,5
62,3,8,0,0,0,5,5
63,3,8,1,0,1,5,5
64,3,9,0,0,0,5,5
65,3,9,1,1,1,5,5
66,3,10,0,1,0,5,5
67,3,10,1,0,0,5,5
68,3,11,0,0,1,5,5
69,3,11,1,0,0,5,5
70,3,12,0,1,0,5,5
71,3,12,1,1,1,5,5
72,4,1,0,0,1,5,5
73,4,1,1,0,1,5,5
74,4,2,0,1,0,5,5
75,4,2,1,0,1,5,5
76,4,3,0,1,1,5,5
77,4,3,1,0,0,5,5
78,4,4,0,0,0,5,5
79,4,4,1,0,1,5,5
80,4,5,0,1,0,5,5
81,4,5,1,0,1,5,5
82,4,6,0,1,0,5,5
83,4,6,1,0,1,5,5
84,4,7,0,1,1,5,5
85,4,7,1,1,0,5,5
86,4,8,0,1,1,5,5
87,4,8,1,0,0,5,5
88,4,9,0,1,0,5,5
89,4,9,1,0,0,5,5
90,4,10,0,0,0,5,5
91,4,10,1,0,0,5,5
92,4,11,0,1,0,5,5
93,4,11,1,0,1,5,5
94,4,12,0,0,0,5,5
95,4,12,1,0,0,5,5
96,5,1,0,0,1,5,5
97,5,1,1,0,1,5,5
